Name,Quelle,Gruppe,Volk,Klasse,Stufe,Fähigkeiten,Upgrade,KÖR,AGI,GEI,ST,BE,VE,HÄ,GE,AU,Lebenskraft,Initiative,Laufen,Abwehr,Schlagen,Schiessen,Zauber,Zielzauber,GH,GK,EP,Talente,Fähigkeiten Schlüssel,Waffen,Panzerung,Ausrüstung,Zaubersprüche
Dampfkutsche,Der König von Gnommewahn,Konstrukte,,,,,,15,14,0,6,3,0,6,0,0,93,17,12.5,23,21,14,,,16,gr,159,"Schleudern, Sturmangriff","Schleudern: DS4CreatureTalent.throw.description, Sturmangriff: DS4CreatureTalent.charge.description",Rammen,Metallwesen (PA+2),,
Deformierter Drachenwelpe,Der Turm des Sturmrufers,Magische Wesen,,,,,,5,5,2,1,1,1,2,2,2,51,6,6,10,9,10,,,4,gr,126,"Mehrere Angriffe (+1), Elementare Aufzehrung, Elementare Freisetzung, Dunkelsicht, Natürliche Waffen, Wesen der Dunkelheit (Settingoption)","Mehrere Angriffe (+1): DS4CreatureTalent.multipleattacksdragon.description, Elementare Aufzehrung: DS4CreatureTalent.elementareaufzehrung.description, Elementare Freisetzung: DS4CreatureTalent.elementarefreisetzung.description, Dunkelsicht: DS4CreatureTalent.darkvision.description, Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description","Biss, Klaue, Odem oder Schwanzhieb (WB+3, GA-2)",Drachenschuppen (PA+3),,
Der Ketzer,Die Hallen der Reinigung,Untote,,,,,,4,6,9,13,0,4,17,5,4,31,6,4,21,17,11,13,17,9,no,141,"Geistesimmun, Natürliche Waffen, Totenkraft, Wesen der Dunkelheit (Settingoption)","Geistesimmun: DS4CreatureTalent.mentalimmunity.description, Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Totenkraft: DS4CreatureTalent.forceofdeath.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description",Klauen/Schlangen,,,"Feuerball (+3), Feuerlanze (+2), Flackern (-2), Fluch (-(GEI+AU)/2), Kontrollieren (-(GEI+AU)/2), Magie entdecken (0), Schatten (-(AGI+AU)/2), Skelette erwecken (0), Terror (-(GEI+VE)/2), Versetzen (0), Zombies erwecken (0)"
Der Weltenfresser,Weltenfresser,Magische Wesen,,,,,Episch,32,12,4,12,5,1,10,0,10,5200,17,12,50,52,14,,,261,ge,10812,"Anfällig, Geistesimmun, Schleudern, Sturmangriff, Verschlingen, Zerstampfen","Anfällig: DS4CreatureTalent.weaknessair.description, Geistesimmun: DS4CreatureTalent.mentalimmunity.description, Schleudern: DS4CreatureTalent.throw.description, Sturmangriff: DS4CreatureTalent.charge.description, Verschlingen: DS4CreatureTalent.gulp.description, Zerstampfen: DS4CreatureTalent.trample.description","Steinpranke (WB+4, GA-4), Felsen (WB+2, GA-2)",Steinwesen (PA+4),,
Dermot Madal,Die Goblinarena,Mensch,Mensch,NEK,12,Talentiert,,7,5,8,1,0,7,0,3,9,17,9,3.5,7,11,8,17,11,1,no,84,"Diener der Dunkelheit V, Beschwörer II, Genesung II, Feuermagier I","Diener der Dunkelheit V: DS4Talent.servantofdarkness.description, Beschwörer II: DS4Talent.evocator.description, Genesung II: DS4Talent.recovery.description, Feuermagier I: DS4Talent.firemage.description","mag. Dolch +3 (WB+3, INI+4, GA-3)",,,"Feuerball (+4), Flammenklinge (+1), Fluch (-(GEI+AU)/2), Kontrollieren (-(GEI+AU)/2), Netz (-(AGI+ST)/2), Schattenpfeil (+2), Skelette erwecken (0), Tarnender Nebel (-2), Terror (-(GEI+VE)/2), Totengespräch (0), Verteidigung (0), Verwirren (-(GEI+AU)/2), Öffnen (-SW)"
Die Eiskönigin,Das Geschenk der Eiskönigin,Mensch,Mensch,ELE,20,Talentiert,Episch,6,6,8,0,0,10,4,4,14,209,9,4,17,10,10,22,17,14,no,628,"Diener der Dunkelheit III, Einstecker III, Elementen trotzen III, Magieresistent III, Schutz vor Elementen III, Verheerer III, Wissensgebiet III, Zaubermacht III","Diener der Dunkelheit III: DS4Talent.servantofdarkness.description, Einstecker III: DS4Talent.endurance.description, Elementen trotzen III: DS4Talent.resistelements.description, Magieresistent III: DS4Talent.magicresistent.description, Schutz vor Elementen III: DS4Talent.protectionforelements.description, Verheerer III: DS4Talent.ravage.description, Wissensgebiet III: DS4Talent.knowledge.description, Zaubermacht III: DS4Talent.powerofmagic.description","mag. Kampfstab (2h) +3 (WB+4, INI+3, GA-3, Zielzauber +1, Eismagier +V)","mag. Robe +3 (PA+3, Bändiger +I, Elementare bündeln +I, Herausforderer der Elemente +I, Herr der Elemente +I, Knechtschaft +I, Mächtige Herbeirufung +I)","Diadem (Diener der Dunkelheit +II, Zauber: Halt eingebettet), Ring (Aura +3, Zauber: Gehorche eingebettet, Zauber: Freund eingebettet)","Bannen (-(KÖR+AU)/2), Ebenentor (-8), Eisbombe (+9), Eishauch (+9), Elementar herbeirufen (-Stufe x5), Elementar herbeirufen (-Stufe x5), Fliegen (0), Frostschock (+9), Frostwaffe (+5), Gasgestalt (0), Kältefront (+4), Kältekegel (+8), Kältestrahl (+7), Schatten (-(AGI+AU)/2), Schutzfeld (0), Schutzschild (0), Tarnender Nebel (-2), Tierbeherrschung (-LK/2), Wasserwandeln (+5), Zeitstop (-5)"
Dirion,Valen Coladris,Elf,Elf,KRI,1,"Nachtsicht, Unsterblich, Zielsicher",,8,8,4,4,0,0,3,3,0,21,8,5,14,13,13,,,2,no,56,"Blocker I, Jäger I, Wissensgebiet I, Wissensgebiet I","Blocker I: DS4Talent.blocker.description, Jäger I: DS4Talent.hunter.description, Wissensgebiet I: DS4Talent.knowledge.description, Wissensgebiet I: DS4Talent.knowledge.description",Speer (WB+1),"Lederpanzer (PA+1), Lederschienen (Arm & Bein) (PA+1), Holzschild (PA+1)",,
Donnerechse,Die Insel der Stürme,Magische Wesen,,,,,,8,7,3,4,1,0,5,3,0,69,8,7.5,15,14,10,,9,5,gr,151,"Natürliche Waffen, Sturmangriff","Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Sturmangriff: DS4CreatureTalent.charge.description","Großer Biss (WB+2, GA-2)",Schuppenpanzer (PA+2),,Blitz (+3)
Donnervogel,Die Insel der Stürme,Tiere,,,,,,8,9,1,4,6,0,1,2,0,38,15,6,10,14,11,,,4,gr,82,"Natürliche Waffen, Sturmangriff","Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Sturmangriff: DS4CreatureTalent.charge.description",Großer Schnabel (WB+2),Federkleid (PA+1),,
Drac,SC2GO,Mensch,Mensch,KRI,1,Talentiert,,8,6,6,5,0,0,5,0,0,26,4,3.5,15,17,6,,,6,no,101,"Einstecker I, Kämpfer I","Einstecker I: DS4Talent.endurance.description, Kämpfer I: DS4Talent.fighter.description","Bihänder (2h) (WB+3, INI-2, GA-4)","Kettenpanzer (PA+2, LA-0.5)",,
Drachenwelpe,Dungeonslayers Basisbox,Magische Wesen,,,,,,9,11,5,2,3,1,2,3,2,63,14,10.5,14,14,17,,,20,gr,270,"Angst, Mehrere Angriffe (+1), Dunkelsicht, Fliegen, Natürliche Waffen, Odem, Schleudern, Sturzangriff, Verschlingen, Wesen der Dunkelheit / Wesen des Lichts (Settingoption), Zerstampfen","Angst: DS4CreatureTalent.fear1.description, Mehrere Angriffe (+1): DS4CreatureTalent.multipleattacksdragon.description, Dunkelsicht: DS4CreatureTalent.darkvision.description, Fliegen: DS4CreatureTalent.fly.description, Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Odem: DS4CreatureTalent.odem.description, Schleudern: DS4CreatureTalent.throw.description, Sturzangriff: DS4CreatureTalent.stuka.description, Verschlingen: DS4CreatureTalent.gulp.description, Wesen der Dunkelheit / Wesen des Lichts (Settingoption): DS4CreatureTalent.creatureoflightordarkness.description, Zerstampfen: DS4CreatureTalent.trample.description","Biss, Klaue, Odem oder Schwanzhieb (WB+3, GA-2)",Drachenschuppen (PA+3),,
Drazuul die Verderberin,Lockruf aus der Finsternis,Tiere,,,,,Heroisch,10,9,9,10,5,5,10,5,5,150,14,5.5,25,25,14,,,27,no,588,"Mehrere Angriffe (+1), Dunkelsicht, Geistesimmun, Bezaubern, Sturmangriff, Wesen der Dunkelheit (Settingoption)","Mehrere Angriffe (+1): DS4CreatureTalent.multipleattacks1.description, Dunkelsicht: DS4CreatureTalent.darkvision.description, Geistesimmun: DS4CreatureTalent.mentalimmunity.description, Bezaubern: DS4CreatureTalent.charm.description, Sturmangriff: DS4CreatureTalent.charge.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description",Schattenklaue (WB+3),Schattenkörper (PA+3),,
Duldgnomischer Zaubertechniker,Slayerforum,Gnom,Gnom,Zau,1,"Dunkelsicht, Klein, Langlebig, Magisch begabt, Zäh, Zäher als sie aussehen",,6,6,8,2,0,2,0,4,3,16,6,4,7,9,10,12,,1,kl,60,"Handwerk II, Diebeskunst I, Wahrnehmung I, Wissensgebiet I, Wissensgebiet I","Handwerk II: DS4Talent.craft.description, Diebeskunst I: DS4Talent.thief.description, Wahrnehmung I: DS4Talent.perception.description, Wissensgebiet I: DS4Talent.knowledge.description, Wissensgebiet I: DS4Talent.knowledge.description","Hammer (WB+1, GA-1)",Robe (runenbestickt) (Aura +1),,Magisches Schloss (0)
Dunkler Krieger,Die Goblinarena,Mensch,Mensch,KRI,,Talentiert,,8,6,6,6,0,1,5,2,0,26,5,4,15,17,8,,,5,no,64,"Diener der Dunkelheit II, Einstecker I, Kämpfer I","Diener der Dunkelheit II: DS4Talent.servantofdarkness.description, Einstecker I: DS4Talent.endurance.description, Kämpfer I: DS4Talent.fighter.description",Langschwert (WB+2),"Lederpanzer (PA+1), Metallhelm (PA+1, INI-1)",,
Dämonenfürst,Dungeonslayers Basisbox,Magische Wesen,,,,,,20,20,10,10,10,5,10,10,5,400,30,16,32,35,30,,,42,ge,579,"Dunkelsicht, Natürliche Waffen, Sturmangriff, Wesen der Dunkelheit (Settingoption)","Dunkelsicht: DS4CreatureTalent.darkvision.description, Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Sturmangriff: DS4CreatureTalent.charge.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description","Pranke (WB+5, GA-5)",Dämonenhaut (PA+2),,
Echsenmensch,Dungeonslayers Basisbox,Humanoide,,,,,,9,8,3,4,0,2,2,2,0,21,8,5,12,14,11,,,3,no,69,"Nachtsicht, Schleudern","Nachtsicht: DS4CreatureTalent.nightvision.description, Schleudern: DS4CreatureTalent.throw.description",Speer (WB+1),Schuppenpanzer (PA+1),,
Einbrecher,Slayerforum,Halbling,Halbling,SPÄ,1,"Geschwind, Klein, Leichtfüßig, Magisch unbegabt, Talentiert, Zäher als sie aussehen",,6,8,6,2,2,0,1,5,0,17,13,6,8,8,15,,,1,kl,49,"Akrobat I, Diebeskunst I, Flink I, Heimlichkeit I, Schütze I, Wahrnehmung I","Akrobat I: DS4Talent.acrobatic.description, Diebeskunst I: DS4Talent.thief.description, Flink I: DS4Talent.fast.description, Heimlichkeit I: DS4Talent.creepy.description, Schütze I: DS4Talent.shooter.description, Wahrnehmung I: DS4Talent.perception.description","Kurzbogen (2h) (WB+1, INI+1)",Lederpanzer (PA+1),,
Einhorn,Dungeonslayers Basisbox,Magische Wesen,,,,,,9,13,1,2,6,1,2,0,1,63,19,12,11,12,13,0,,5,gr,194,"Angst, Mehrere Angriffe (+1), Geistesimmun, Nachtsicht, Schleudern, Sturmangriff, Wesen des Lichts (Settingoption)","Angst: DS4CreatureTalent.fear1.description, Mehrere Angriffe (+1): DS4CreatureTalent.multipleattacksunicorn.description, Geistesimmun: DS4CreatureTalent.mentalimmunity.description, Nachtsicht: DS4CreatureTalent.nightvision.description, Schleudern: DS4CreatureTalent.throw.description, Sturmangriff: DS4CreatureTalent.charge.description, Wesen des Lichts (Settingoption): DS4CreatureTalent.creatureoflight.description","Horn oder Hufe (WB+1, GA-2)",,,Spurt (-2)
Eiselementar III,Ein Riesenproblem,Magische Wesen,,,,,,15,9,1,5,0,0,6,4,0,62,9,6,29,24,17,,,15,gr,128,"Anfällig, Körperlos","Anfällig: DS4CreatureTalent.weaknessfire.description, Körperlos: DS4CreatureTalent.withoutbody.description",Eisstrahl (WB+4),Keine feste Gestalt (PA+8),,
Eisenhaller Armbrustschütze,Slayerforum,Zwerg,Zwerg,SPÄ,1,"Dunkelsicht, Langlebig, Zäh",,8,8,4,0,0,0,4,6,0,25,8,4.5,15,8,17,,,2,no,59,"Einstecker I, Schlachtruf I, Schütze I","Einstecker I: DS4Talent.endurance.description, Schlachtruf I: DS4Talent.battlecry.description, Schütze I: DS4Talent.shooter.description","Armbrust, leicht (2h) (WB+2, INI-2), Dolch (INI+1)","Metallhelm (PA+1, INI-1), Metallschild (PA+1, LA-0.5)",,
Eiswolf,Ein Riesenproblem,Tiere,,,,,,11,8,1,4,2,0,2,2,0,17,10,7.5,14,16,12,,,6,kl,86,"Anfällig, Natürliche Waffen, Odem, Sturmangriff, Wesen der Dunkelheit (Settingoption)","Anfällig: DS4CreatureTalent.weaknessfire.description, Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Odem: DS4CreatureTalent.odem.description, Sturmangriff: DS4CreatureTalent.charge.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description","Eisodem (WB+2), Biss (WB+1)",Frostfell (PA+1),,
Eiszwerg,Ein Riesenproblem,Humanoide,,,,,,10,6,2,2,0,1,3,3,0,23,7,4,14,13,10,,,2,no,58,Nachtsicht,Nachtsicht: DS4CreatureTalent.nightvision.description,"Kurzbogen (2h) (WB+1, INI+1), Kurzschwert (WB+1)",Lederpanzer (PA+1),,
Eldvyn,Slay! #1,Elf,Elf,KRI,3,"Nachtsicht, Unsterblich, Leichtfüßig",,7,7,6,4,1,1,3,1,0,20,8,4.5,13,14,8,,,2,no,51,"Parade III, Kämpfer II, Wissensgebiet II","Parade III: DS4Talent.parade.description, Kämpfer II: DS4Talent.fighter.description, Wissensgebiet II: DS4Talent.knowledge.description",Kurzschwert (WB+1),,,
Emrich,Dungeonslayers Basisbox,Mensch,Mensch,KRI,3,Talentiert,,8,7,5,5,0,2,4,1,0,22,4,4,15,15,10,,,2,no,61,,,"Langschwert (WB+2), Armbrust, leicht (2h) (WB+2, INI-2)","Kettenpanzer (PA+2, LA-0.5), Metallhelm (PA+1, INI-1)",,
Engel der Apokalypse,Slay! #3,Humanoide,,,,,,20,20,10,10,10,5,10,10,5,200,30,13,32,35,30,,,33,ri,377,"Fliegen, Wesen der Dunkelheit (Settingoption)","Fliegen: DS4CreatureTalent.fly.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description","Schattenklinge (WB+5, GA-5)",Umhang (PA+2),,
Enural,Valen Coladris,Elf,Elf,KRI,1,"Nachtsicht, Unsterblich, Zielsicher",,8,6,6,4,0,1,4,0,1,22,8,4,13,13,7,,,2,no,54,"Glückspilz I, Schnelle Reflexe I, Wissensgebiet I, Wissensgebiet I","Glückspilz I: DS4Talent.lucky.description, Schnelle Reflexe I: DS4Talent.quickreflexes.description, Wissensgebiet I: DS4Talent.knowledge.description, Wissensgebiet I: DS4Talent.knowledge.description",Kurzschwert (WB+1),Lederpanzer (PA+1),,
Erald,Valen Coladris,Elf,Elf,SPÄ,1,"Nachtsicht, Unsterblich, Zielsicher",,6,8,6,0,1,1,2,6,0,18,10,5,9,6,17,,,1,no,50,"Bildung I, Glückspilz I, Schütze I, Wissensgebiet I","Bildung I: DS4Talent.education.description, Glückspilz I: DS4Talent.lucky.description, Schütze I: DS4Talent.shooter.description, Wissensgebiet I: DS4Talent.knowledge.description","Kurzbogen (2h) (WB+1, INI+1)",Lederpanzer (PA+1),,
Erdelementar I,Dungeonslayers Basisbox,Magische Wesen,,,,,,12,2,1,3,1,0,4,0,0,13,3,2,20,19,2,,,8,kl,44,Anfällig,Anfällig: DS4CreatureTalent.weaknessair.description,Steinpranke (WB+4),Steinwesen (PA+4),,
Erdelementar II,Dungeonslayers Basisbox,Magische Wesen,,,,,,17,2,1,4,1,0,5,0,0,32,3,2,26,25,2,,,15,no,70,Anfällig,Anfällig: DS4CreatureTalent.weaknessair.description,Steinpranke (WB+4),Steinwesen (PA+4),,
Erdelementar III,Dungeonslayers Basisbox,Magische Wesen,,,,,,22,2,1,5,1,0,7,0,0,78,3,2.5,33,31,2,,,23,gr,124,Anfällig,Anfällig: DS4CreatureTalent.weaknessair.description,Steinpranke (WB+4),Steinwesen (PA+4),,
Erfahrener Rattling,Slay! #2,Rattling,Rattling,SPÄ,5,"Dunkelsicht, Klein, Leichtfüßig, Lichtempfindlich, Resistenz gegen Krankheiten und Gifte, Zäher als sie aussehen",,6,8,6,0,4,1,3,6,0,22,12,6,12,7,17,,,1,kl,61,"Schütze II, Einstecker I, Fieser Schuss I, Flink I, Ausweichen I, Schwimmen I, Heimlichkeit I, Wahrnehmung I","Schütze II: DS4Talent.shooter.description, Einstecker I: DS4Talent.endurance.description, Fieser Schuss I: DS4Talent.meanshot.description, Flink I: DS4Talent.fast.description, Ausweichen I: DS4Talent.evasion.description, Schwimmen I: DS4Talent.swimming.description, Heimlichkeit I: DS4Talent.creepy.description, Wahrnehmung I: DS4Talent.perception.description","Kurzbogen (2h) (WB+1, INI+1), Kurzschwert (WB+1)","Metallhelm (PA+1, INI-1), Lederschienen (Arm & Bein) (PA+1), Lederpanzer (PA+1)",,
Erindor,Valen Coladris,Elf,Elf,Zau,1,"Nachtsicht, Unsterblich, Zielsicher",,5,7,8,0,0,3,1,5,2,16,7,4.5,6,6,13,,16,1,no,51,"Bildung I, Blitzmacher I, Wissensgebiet I, Wissensgebiet I","Bildung I: DS4Talent.education.description, Blitzmacher I: DS4Talent.boltthrower.description, Wissensgebiet I: DS4Talent.knowledge.description, Wissensgebiet I: DS4Talent.knowledge.description","Kampfstab (2h) (WB+1, Zielzauber +1)",Robe (runenbestickt) (Aura +1),,Schock (+1)
Erwachsener Drache,Dungeonslayers Basisbox,Magische Wesen,,,,,,24,16,10,6,4,2,6,4,3,600,20,18.5,35,35,25,,,65,ge,922,"Angst, Mehrere Angriffe (+1), Dunkelsicht, Fliegen, Natürliche Waffen, Odem, Schleudern, Sturzangriff, Verschlingen, Wesen der Dunkelheit / Wesen des Lichts (Settingoption), Zerstampfen","Angst: DS4CreatureTalent.fear3.description, Mehrere Angriffe (+1): DS4CreatureTalent.multipleattacksdragon.description, Dunkelsicht: DS4CreatureTalent.darkvision.description, Fliegen: DS4CreatureTalent.fly.description, Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Odem: DS4CreatureTalent.odem.description, Schleudern: DS4CreatureTalent.throw.description, Sturzangriff: DS4CreatureTalent.stuka.description, Verschlingen: DS4CreatureTalent.gulp.description, Wesen der Dunkelheit / Wesen des Lichts (Settingoption): DS4CreatureTalent.creatureoflightordarkness.description, Zerstampfen: DS4CreatureTalent.trample.description","Biss, Klaue, Odem oder Schwanzhieb (WB+5, GA-5)",Drachenschuppen (PA+5),,
Ettin,Slay! #1,Humanoide,,,,,,18,4,5,5,2,3,6,0,0,68,6,3.5,25,26,4,,,22,gr,168,"Angst, Gift, Mehrere Angriffe (+1), Nachtsicht, Wesen der Dunkelheit (Settingoption)","Angst: DS4CreatureTalent.fear2.description, Gift: DS4CreatureTalent.poison.description, Mehrere Angriffe (+1): DS4CreatureTalent.multipleattacks1.description, Nachtsicht: DS4CreatureTalent.nightvision.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description","Steinkeule (WB+3, GA+3)",Felle (PA+1),,
Eulerich,Dungeonslayers Basisbox,Magische Wesen,,,,,,14,6,1,4,3,0,3,0,0,54,9,4.5,18,20,6,,,11,gr,115,Dunkelsicht,Dunkelsicht: DS4CreatureTalent.darkvision.description,"Pranke (WB+2, GA-2)",Federkleid (PA+1),,
Fahlstepper Grenzwächter,Slayerforum,Mensch,Mensch,KRI,1,Talentiert,,8,7,5,4,0,0,3,2,0,24,8,4.5,13,13,10,,,1,no,57,"Einstecker I, Jäger I, Schlachtruf I, Wahrnehmung I, Wissensgebiet I, Wissensgebiet I","Einstecker I: DS4Talent.endurance.description, Jäger I: DS4Talent.hunter.description, Schlachtruf I: DS4Talent.battlecry.description, Wahrnehmung I: DS4Talent.perception.description, Wissensgebiet I: DS4Talent.knowledge.description, Wissensgebiet I: DS4Talent.knowledge.description","Speer (WB+1), Kurzbogen (2h) (WB+1, INI+1)","Lederpanzer (PA+1), Holzschild (PA+1)",,
Falschspieler,Slayerforum,Halbling,Halbling,SPÄ,1,"Geschwind, Klein, Leichtfüßig, Magisch unbegabt, Talentiert, Zäher als sie aussehen",,6,8,6,1,1,2,1,4,1,17,14,5,8,7,12,,,1,kl,48,"Charmant I, Glückspilz I, Schlitzohr I, Schnelle Reflexe I, Wahrnehmung I, Wissensgebiet I","Charmant I: DS4Talent.charmant.description, Glückspilz I: DS4Talent.lucky.description, Schlitzohr I: DS4Talent.rascal.description, Schnelle Reflexe I: DS4Talent.quickreflexes.description, Wahrnehmung I: DS4Talent.perception.description, Wissensgebiet I: DS4Talent.knowledge.description","Dolch (INI+1), Wurfmesser",Lederpanzer (PA+1),,
Faria (Feuermagierin),Avakars Runde,Mensch,Mensch,Zau,6,Talentiert,,8,4,8,0,0,4,4,4,5,22,4,4,12,9,8,13,13,1,no,81,"Feuermagier III, Wechsler II, Flink I, Ausweichen I, Wissensgebiet I, Zaubermacht I","Feuermagier III: DS4Talent.firemage.description, Wechsler II: DS4Talent.changer.description, Flink I: DS4Talent.fast.description, Ausweichen I: DS4Talent.evasion.description, Wissensgebiet I: DS4Talent.knowledge.description, Zaubermacht I: DS4Talent.powerofmagic.description","Kampfstab (2h) (WB+1, Zielzauber +1)",Robe (runenbestickt) (Aura +1),"Armband (Verstand +1), Gürtel (1x aktionsfrei Zauber wechseln), Krähenfuß (Feuerzauber +1)","Duftnote (0), Feuerlanze (+6), Flammenklinge (+4), Licht (+5), Niesanfall (-(KÖR+AU)/2), Öffnen (-SW)"
Faulbauch,Dungeonslayers Basisbox,Untote,,,,,,16,6,0,6,0,0,5,0,0,62,6,4.5,23,24,6,,,17,gr,131,"Dunkelsicht, Geistesimmun, Schleudern, Wesen der Dunkelheit (Settingoption)","Dunkelsicht: DS4CreatureTalent.darkvision.description, Geistesimmun: DS4CreatureTalent.mentalimmunity.description, Schleudern: DS4CreatureTalent.throw.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description",Knochenpranke (WB+2),Merkt nichts (PA+2),,
Faulbauchmade,Dungeonslayers Basisbox,Untote,,,,,,6,6,0,2,0,0,4,0,0,10,6,4,10,10,6,,,1,kl,47,"Dunkelsicht, Geistesimmun, Natürliche Waffen","Dunkelsicht: DS4CreatureTalent.darkvision.description, Geistesimmun: DS4CreatureTalent.mentalimmunity.description, Natürliche Waffen: DS4CreatureTalent.naturalweapons.description",Zahnschlund (WB+2),,,
Fenya,Das Volk der Sturmelfen,Elf,Elf,SPÄ,1,"Nachtsicht, Unsterblich, Zielsicher",,4,8,8,0,3,2,2,3,0,16,12,5,7,4,13,,,1,no,47,"Akrobat I, Heimlichkeit I, Schütze I, Wissensgebiet I","Akrobat I: DS4Talent.acrobatic.description, Heimlichkeit I: DS4Talent.creepy.description, Schütze I: DS4Talent.shooter.description, Wissensgebiet I: DS4Talent.knowledge.description","Dolch (INI+1), Schleuder",Lederpanzer (PA+1),,
Fetter Goblin-Aufseher,Trächtige Wildsau,Humanoide,,,,,,6,7,2,3,2,1,4,2,0,20,10,4.5,14,10,9,,,1,kl,69,"Parade II, Kämpfer I","Parade II: DS4Talent.parade.description, Kämpfer I: DS4Talent.fighter.description","Peitsche (WB-1, INI+1, GA-2)","Lederpanzer (PA+1), Lederschienen (Arm & Bein) (PA+1)",,
Feuerelementar I,Dungeonslayers Basisbox,Magische Wesen,,,,,,9,5,1,3,0,0,5,0,0,12,5,3.5,22,14,5,,,9,kl,70,"Anfällig, Fliegen, Körperlos","Anfällig: DS4CreatureTalent.weaknesswater.description, Fliegen: DS4CreatureTalent.fly.description, Körperlos: DS4CreatureTalent.withoutbody.description",Flammenhieb (WB+2),Keine feste Gestalt (PA+8),,
Feuerelementar II,Dungeonslayers Basisbox,Magische Wesen,,,,,,13,6,1,4,0,0,6,0,0,29,6,4,27,20,6,,,15,no,95,"Anfällig, Fliegen, Körperlos","Anfällig: DS4CreatureTalent.weaknesswater.description, Fliegen: DS4CreatureTalent.fly.description, Körperlos: DS4CreatureTalent.withoutbody.description",Flammenhieb (WB+3),Keine feste Gestalt (PA+8),,
Feuerelementar III,Dungeonslayers Basisbox,Magische Wesen,,,,,,18,6,1,6,0,0,7,0,0,70,6,4.5,33,28,6,,,24,gr,145,"Anfällig, Fliegen, Körperlos","Anfällig: DS4CreatureTalent.weaknesswater.description, Fliegen: DS4CreatureTalent.fly.description, Körperlos: DS4CreatureTalent.withoutbody.description",Flammenhieb (WB+4),Keine feste Gestalt (PA+8),,
Fjordinger Wikinger,Slayerforum,Mensch,Mensch,KRI,1,Talentiert,,8,8,4,4,2,0,4,0,0,25,9,5,14,14,8,,,4,no,78,"Einstecker I, Kämpfer I, Schlachtruf I, Schwimmen I, Wissensgebiet I","Einstecker I: DS4Talent.endurance.description, Kämpfer I: DS4Talent.fighter.description, Schlachtruf I: DS4Talent.battlecry.description, Schwimmen I: DS4Talent.swimming.description, Wissensgebiet I: DS4Talent.knowledge.description","Breitschwert (WB+1, GA-2)","Lederpanzer (PA+1), Metallhelm (PA+1, INI-1)",,
Fjordorzwergischer Kaperfahrer,Slayerforum,Zwerg,Zwerg,KRI,1,"Dunkelsicht, Langlebig, Zäh",,8,8,4,6,0,0,4,0,0,22,7,5,17,15,9,,,3,no,58,"Prügler I, Raserei I, Schlachtruf I, Wissensgebiet I","Prügler I: DS4Talent.birching.description, Raserei I: DS4Talent.fury.description, Schlachtruf I: DS4Talent.battlecry.description, Wissensgebiet I: DS4Talent.knowledge.description",Axt (WB+1),"Lederpanzer (PA+1), Holzschild (PA+1), Lederschienen (Arm & Bein) (PA+1), Metallhelm (PA+1, INI-1)",,
Fliegender Schädel,Slay! #3,Untote,,,,,,5,8,8,1,2,4,3,0,4,5,10,5,8,7,8,12,,4,wi,93,"Dunkelsicht, Fliegen, Geistesimmun, Werteverlust, Wesen der Dunkelheit (Settingoption)","Dunkelsicht: DS4CreatureTalent.darkvision.description, Fliegen: DS4CreatureTalent.fly.description, Geistesimmun: DS4CreatureTalent.mentalimmunity.description, Werteverlust: DS4CreatureTalent.lossgeilaugh.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description",Biss (WB+1),,,"Totenlachen (-GEI+AU auf VE Ziele im Umkreis von VEx2 Metern, sofern diese das Lachen hören können; Erfolg führt zu Werteverlust.) (undefined)"
Fliegendes Schwert,Dungeonslayers Basisbox,Konstrukte,,,,,,10,5,0,4,0,0,4,0,0,12,5,3.5,19,16,5,,,8,kl,57,Fliegen,Fliegen: DS4CreatureTalent.fly.description,Langschwert (WB+2),Metallwesen (PA+5),,
Floragon,Valen Coladris,Elf,Elf,SPÄ,1,"Nachtsicht, Unsterblich, Zielsicher",,5,8,7,0,2,0,3,3,2,18,11,5,8,5,14,,,1,no,49,"Jäger I, Schütze I, Wissensgebiet I, Wissensgebiet I","Jäger I: DS4Talent.hunter.description, Schütze I: DS4Talent.shooter.description, Wissensgebiet I: DS4Talent.knowledge.description, Wissensgebiet I: DS4Talent.knowledge.description","Kurzbogen (2h) (WB+1, INI+1), Dolch (INI+1)",,,
